sgy_file,split_name,split_ch_start,split_ch_end,folder,segment_index,png_relpath,sample_start,sample_end,start_sec,end_sec,axis_top,axis_bottom,axis_name
RAW_20230719_015052.760.sgy,split_02_ch0850_1255,850,1255,0001_RAW_20230719_015052.760,3,split_02_ch0850_1255/0001_RAW_20230719_015052.760/seg_003.png,3000,5000,3.0,5.0,-968.8,-553.7,Depth (m)
RAW_20230719_015052.760.sgy,split_03_ch1300_1705,1300,1705,0001_RAW_20230719_015052.760,0,split_03_ch1300_1705/0001_RAW_20230719_015052.760/seg_000.png,0,2000,0.0,2.0,-507.6,-92.6,Depth (m)
RAW_20230719_015052.760.sgy,split_03_ch1300_1705,1300,1705,0001_RAW_20230719_015052.760,1,split_03_ch1300_1705/0001_RAW_20230719_015052.760/seg_001.png,1000,3000,1.0,3.0,-507.6,-92.6,Depth (m)
RAW_20230719_015052.760.sgy,split_03_ch1300_1705,1300,1705,0001_RAW_20230719_015052.760,2,split_03_ch1300_1705/0001_RAW_20230719_015052.760/seg_002.png,2000,4000,2.0,4.0,-507.6,-92.6,Depth (m)
RAW_20230719_015052.760.sgy,split_03_ch1300_1705,1300,1705,0001_RAW_20230719_015052.760,3,split_03_ch1300_1705/0001_RAW_20230719_015052.760/seg_003.png,3000,5000,3.0,5.0,-507.6,-92.6,Depth (m)
RAW_20230719_015052.760.sgy,split_04_ch1750_2155,1750,2155,0001_RAW_20230719_015052.760,0,split_04_ch1750_2155/0001_RAW_20230719_015052.760/seg_000.png,0,2000,0.0,2.0,-46.5,327.6,Depth (m)
RAW_20230719_015052.760.sgy,split_04_ch1750_2155,1750,2155,0001_RAW_20230719_015052.760,1,split_04_ch1750_2155/0001_RAW_20230719_015052.760/seg_001.png,1000,3000,1.0,3.0,-46.5,327.6,Depth (m)
RAW_20230719_015052.760.sgy,split_04_ch1750_2155,1750,2155,0001_RAW_20230719_015052.760,2,split_04_ch1750_2155/0001_RAW_20230719_015052.760/seg_002.png,2000,4000,2.0,4.0,-46.5,327.6,Depth (m)
RAW_20230719_015052.760.sgy,split_04_ch1750_2155,1750,2155,0001_RAW_20230719_015052.760,3,split_04_ch1750_2155/0001_RAW_20230719_015052.760/seg_003.png,3000,5000,3.0,5.0,-46.5,327.6,Depth (m)
RAW_20230719_015140.420.sgy,split_01_ch0400_0805,400,805,0002_RAW_20230719_015140.420,0,split_01_ch0400_0805/0002_RAW_20230719_015140.420/seg_000.png,0,2000,0.0,2.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_015140.420.sgy,split_01_ch0400_0805,400,805,0002_RAW_20230719_015140.420,1,split_01_ch0400_0805/0002_RAW_20230719_015140.420/seg_001.png,1000,3000,1.0,3.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_015140.420.sgy,split_01_ch0400_0805,400,805,0002_RAW_20230719_015140.420,2,split_01_ch0400_0805/0002_RAW_20230719_015140.420/seg_002.png,2000,4000,2.0,4.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_015140.420.sgy,split_01_ch0400_0805,400,805,0002_RAW_20230719_015140.420,3,split_01_ch0400_0805/0002_RAW_20230719_015140.420/seg_003.png,3000,5000,3.0,5.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_015140.420.sgy,split_02_ch0850_1255,850,1255,0002_RAW_20230719_015140.420,0,split_02_ch0850_1255/0002_RAW_20230719_015140.420/seg_000.png,0,2000,0.0,2.0,-968.8,-553.7,Depth (m)
RAW_20230719_015140.420.sgy,split_02_ch0850_1255,850,1255,0002_RAW_20230719_015140.420,1,split_02_ch0850_1255/0002_RAW_20230719_015140.420/seg_001.png,1000,3000,1.0,3.0,-968.8,-553.7,Depth (m)
RAW_20230719_015140.420.sgy,split_02_ch0850_1255,850,1255,0002_RAW_20230719_015140.420,2,split_02_ch0850_1255/0002_RAW_20230719_015140.420/seg_002.png,2000,4000,2.0,4.0,-968.8,-553.7,Depth (m)
RAW_20230719_015140.420.sgy,split_02_ch0850_1255,850,1255,0002_RAW_20230719_015140.420,3,split_02_ch0850_1255/0002_RAW_20230719_015140.420/seg_003.png,3000,5000,3.0,5.0,-968.8,-553.7,Depth (m)
RAW_20230719_015140.420.sgy,split_03_ch1300_1705,1300,1705,0002_RAW_20230719_015140.420,0,split_03_ch1300_1705/0002_RAW_20230719_015140.420/seg_000.png,0,2000,0.0,2.0,-507.6,-92.6,Depth (m)
RAW_20230719_015140.420.sgy,split_03_ch1300_1705,1300,1705,0002_RAW_20230719_015140.420,1,split_03_ch1300_1705/0002_RAW_20230719_015140.420/seg_001.png,1000,3000,1.0,3.0,-507.6,-92.6,Depth (m)
RAW_20230719_015140.420.sgy,split_03_ch1300_1705,1300,1705,0002_RAW_20230719_015140.420,2,split_03_ch1300_1705/0002_RAW_20230719_015140.420/seg_002.png,2000,4000,2.0,4.0,-507.6,-92.6,Depth (m)
RAW_20230719_015140.420.sgy,split_03_ch1300_1705,1300,1705,0002_RAW_20230719_015140.420,3,split_03_ch1300_1705/0002_RAW_20230719_015140.420/seg_003.png,3000,5000,3.0,5.0,-507.6,-92.6,Depth (m)
RAW_20230719_015140.420.sgy,split_04_ch1750_2155,1750,2155,0002_RAW_20230719_015140.420,0,split_04_ch1750_2155/0002_RAW_20230719_015140.420/seg_000.png,0,2000,0.0,2.0,-46.5,327.6,Depth (m)
RAW_20230719_015140.420.sgy,split_04_ch1750_2155,1750,2155,0002_RAW_20230719_015140.420,1,split_04_ch1750_2155/0002_RAW_20230719_015140.420/seg_001.png,1000,3000,1.0,3.0,-46.5,327.6,Depth (m)
RAW_20230719_015140.420.sgy,split_04_ch1750_2155,1750,2155,0002_RAW_20230719_015140.420,2,split_04_ch1750_2155/0002_RAW_20230719_015140.420/seg_002.png,2000,4000,2.0,4.0,-46.5,327.6,Depth (m)
RAW_20230719_015140.420.sgy,split_04_ch1750_2155,1750,2155,0002_RAW_20230719_015140.420,3,split_04_ch1750_2155/0002_RAW_20230719_015140.420/seg_003.png,3000,5000,3.0,5.0,-46.5,327.6,Depth (m)
RAW_20230719_021049.840.sgy,split_01_ch0400_0805,400,805,0003_RAW_20230719_021049.840,0,split_01_ch0400_0805/0003_RAW_20230719_021049.840/seg_000.png,0,2000,0.0,2.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_021049.840.sgy,split_01_ch0400_0805,400,805,0003_RAW_20230719_021049.840,1,split_01_ch0400_0805/0003_RAW_20230719_021049.840/seg_001.png,1000,3000,1.0,3.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_021049.840.sgy,split_01_ch0400_0805,400,805,0003_RAW_20230719_021049.840,2,split_01_ch0400_0805/0003_RAW_20230719_021049.840/seg_002.png,2000,4000,2.0,4.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_021049.840.sgy,split_01_ch0400_0805,400,805,0003_RAW_20230719_021049.840,3,split_01_ch0400_0805/0003_RAW_20230719_021049.840/seg_003.png,3000,5000,3.0,5.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_021049.840.sgy,split_02_ch0850_1255,850,1255,0003_RAW_20230719_021049.840,0,split_02_ch0850_1255/0003_RAW_20230719_021049.840/seg_000.png,0,2000,0.0,2.0,-968.8,-553.7,Depth (m)
RAW_20230719_021049.840.sgy,split_02_ch0850_1255,850,1255,0003_RAW_20230719_021049.840,1,split_02_ch0850_1255/0003_RAW_20230719_021049.840/seg_001.png,1000,3000,1.0,3.0,-968.8,-553.7,Depth (m)
RAW_20230719_021049.840.sgy,split_02_ch0850_1255,850,1255,0003_RAW_20230719_021049.840,2,split_02_ch0850_1255/0003_RAW_20230719_021049.840/seg_002.png,2000,4000,2.0,4.0,-968.8,-553.7,Depth (m)
RAW_20230719_021049.840.sgy,split_02_ch0850_1255,850,1255,0003_RAW_20230719_021049.840,3,split_02_ch0850_1255/0003_RAW_20230719_021049.840/seg_003.png,3000,5000,3.0,5.0,-968.8,-553.7,Depth (m)
RAW_20230719_021049.840.sgy,split_03_ch1300_1705,1300,1705,0003_RAW_20230719_021049.840,0,split_03_ch1300_1705/0003_RAW_20230719_021049.840/seg_000.png,0,2000,0.0,2.0,-507.6,-92.6,Depth (m)
RAW_20230719_021049.840.sgy,split_03_ch1300_1705,1300,1705,0003_RAW_20230719_021049.840,1,split_03_ch1300_1705/0003_RAW_20230719_021049.840/seg_001.png,1000,3000,1.0,3.0,-507.6,-92.6,Depth (m)
RAW_20230719_021049.840.sgy,split_03_ch1300_1705,1300,1705,0003_RAW_20230719_021049.840,2,split_03_ch1300_1705/0003_RAW_20230719_021049.840/seg_002.png,2000,4000,2.0,4.0,-507.6,-92.6,Depth (m)
RAW_20230719_021049.840.sgy,split_03_ch1300_1705,1300,1705,0003_RAW_20230719_021049.840,3,split_03_ch1300_1705/0003_RAW_20230719_021049.840/seg_003.png,3000,5000,3.0,5.0,-507.6,-92.6,Depth (m)
RAW_20230719_021049.840.sgy,split_04_ch1750_2155,1750,2155,0003_RAW_20230719_021049.840,0,split_04_ch1750_2155/0003_RAW_20230719_021049.840/seg_000.png,0,2000,0.0,2.0,-46.5,327.6,Depth (m)
